SA2_CODE,SA2_NAME_BOUNDARY,listing_count,occupied_nights,avg_occupancy,avg_availability_365,total_reviews,avg_reviews_per_listing,avg_review_score,avg_price,SA2_NAME,population,children_0_14,young_adults_20_34,older_65_plus,pct_children_0_14,pct_young_adults_20_34,pct_older_65_plus,listings_per_1000_people,occupied_nights_per_1000_people,reviews_per_1000_people
120021389,Lilyfield - Rozelle,79,6315,79.9367088607595,128.0632911392405,4128,52.25316455696203,4.805135135135135,,Lilyfield - Rozelle,14152.0,2431.0,2747.0,1986.0,17.177784058790277,19.410684002261164,14.033352176370832,5.582249858677219,446.2266817410966,291.6902204635387
118021569,Randwick - North,93,5150,55.376344086021504,157.1505376344086,3716,39.956989247311824,4.752051282051283,,Randwick - North,16679.0,2462.0,4935.0,2312.0,14.761076803165658,29.588104802446193,13.86174231069009,5.575873853348522,308.7715090832784,222.79513160261408
118021566,Maroubra - North,57,2522,44.24561403508772,151.33333333333334,1632,28.63157894736842,4.847708333333333,,Maroubra - North,10307.0,1614.0,2256.0,1955.0,15.659260696613952,21.888037256233627,18.967691859901038,5.530222179101581,244.68807606481033,158.33899291743475
122021691,North Narrabeen - Warriewood (South),61,3331,54.60655737704918,151.1639344262295,2529,41.459016393442624,4.8633962264150945,,North Narrabeen - Warriewood (South),11056.0,2206.0,1734.0,1719.0,19.952966714905934,15.683791606367583,15.548118668596237,5.517366136034732,301.28437047756876,228.74457308248913
118011344,Dover Heights,63,2866,45.492063492063494,173.0793650793651,1130,17.936507936507937,4.792708333333334,,Dover Heights,11433.0,1932.0,2279.0,1838.0,16.89845184990816,19.93352575876848,16.076270445202486,5.510364733665705,250.67786232834777,98.83670077844835
122031693,Collaroy - Collaroy Plateau,76,4179,54.98684210526316,155.3815789473684,1972,25.94736842105263,4.884666666666666,,Collaroy - Collaroy Plateau,14155.0,2379.0,2787.0,2448.0,16.806782055810668,19.689155775344403,17.294242317202404,5.369127516778523,295.2313670081244,139.31472977746378
117021327,Petersham - Stanmore,112,9001,80.36607142857143,134.46428571428572,5745,51.294642857142854,4.672772277227723,,Petersham - Stanmore,20986.0,2362.0,6992.0,2346.0,11.25512246259411,33.31744972839036,11.178881158867817,5.33689126084056,428.90498427523113,273.75393119222343
122031695,Dee Why - North,100,6179,61.79,150.56,3433,34.33,4.8592405063291135,,Dee Why - North,18997.0,2689.0,5383.0,2390.0,14.15486655787756,28.33605306100963,12.580933831657632,5.263989050902774,325.2618834552824,180.71274411749224
122031430,Manly Vale - Allambie Heights,92,6225,67.66304347826087,155.18478260869566,2322,25.23913043478261,4.785733333333334,,Manly Vale - Allambie Heights,17936.0,3616.0,2931.0,2706.0,20.16057091882248,16.3414362176628,15.086975914362178,5.129348795718109,347.06735057983946,129.46030330062445
120031396,Homebush,114,10282,90.19298245614036,155.49122807017545,2831,24.833333333333332,4.55010989010989,,Homebush,23020.0,3072.0,9859.0,1583.0,13.344917463075587,42.827975673327536,6.876629018245005,4.9522154648132055,446.65508253692445,122.98001737619461
